model_name,target,unsupervised_features,cv_f1_mean,cv_f1_std,cv_roc_mean,cv_roc_std,f1,roc_auc,accuracy
Logistic Regression,high_risk,True,0.15776979293949495,0.009660188938033616,0.7293960286817429,0.040508311590337916,0.16129032258064516,0.8051234567901235,0.7682020802377415
KNN,high_risk,True,0.1481159420289855,0.07941267286016793,0.6275036771465343,0.05795646127561024,0.07142857142857142,0.6913271604938271,0.9613670133729569
Naive Bayes,high_risk,True,0.2069355963112695,0.008639186257117347,0.7618289207574922,0.031546998554849694,0.21666666666666667,0.8069135802469136,0.8603268945022289
SVM,high_risk,True,0.1714046618831027,0.04080963678102405,0.6869148740577311,0.046620273432888215,0.18181818181818182,0.6838888888888888,0.8528974739970282
Decision Tree,high_risk,True,0.1356013437016882,0.02795159851715336,0.6219718698290126,0.050291700052103955,0.2018348623853211,0.7068827160493827,0.8707280832095097
Random Forest,high_risk,True,0.01818181818181818,0.03636363636363636,0.7002983085125941,0.03610213595063316,0.07692307692307693,0.8036728395061729,0.9643387815750372
Gradient Boosting,high_risk,True,0.18044733044733047,0.1664923533890363,0.7283935466078323,0.03484663049912904,0.0,0.7947530864197531,0.9569093610698366
XGBoost,high_risk,True,0.1465174825174825,0.11388283459183234,0.679010847582276,0.03827090492486207,0.12903225806451613,0.7600617283950617,0.9598811292719168
CatBoost,high_risk,True,0.10217391304347827,0.0980914275885085,0.7026861555432984,0.045371249133829276,0.14814814814814814,0.7117283950617285,0.9658246656760773
LightGBM,high_risk,True,0.15113960113960112,0.10350980589566922,0.6600854936569223,0.04967548582155867,0.1935483870967742,0.7369753086419752,0.962852897473997
